offer_id,source,categories,title,expected_count,extracted_count,matched_count,missing_count,extra_count,recall_pct,precision_pct,expected,extracted,missing,extra
1,adzuna,,Expeditor / Specjalista (tka) ds. Koordynacji Zamówień @ Antal,0,0,0,0,0,0.0,0.0,,,,
3,adzuna,,Kierownik budowy/ Kierownik robót z zakresu montażu instalacji AKPiA @ Antal,3,3,3,0,0,100.0,100.0,certification:driving_license_b;certification:sep;work_activity:driving,certification:driving_license_b;certification:sep;work_activity:driving,,
4,adzuna,,Staż – Rejestrator/ka medyczny/a ♿ @ Fundacja Aktywizacja,1,1,1,0,0,100.0,100.0,trait:communication,trait:communication,,
5,adzuna,,Psycholog / Psycholożka @ Fundacja Aktywizacja,1,1,1,0,0,100.0,100.0,trait:responsibility,trait:responsibility,,
6,adzuna,,Sprzedawca / Sprzedawczyni (♿) @ Fundacja Aktywizacja,0,0,0,0,0,0.0,0.0,,,,
7,adzuna,,Asystent/ka ds. księgowości (z orzeczeniem o niepełnosprawności ♿️) @ Fundacja Aktywizacja,3,3,3,0,0,100.0,100.0,trait:accuracy;trait:independence;trait:responsibility,trait:accuracy;trait:independence;trait:responsibility,,
8,adzuna,,Mechanical Engineer (k/m) @ ASTEK Polska,0,0,0,0,0,0.0,0.0,,,,
9,adzuna,,Metrolog/ Metrolożka @ Antal,1,1,1,0,0,100.0,100.0,work_activity:office_work,work_activity:office_work,,
10,adzuna,,Specjalista/ka ds. kadr i płac - Staż ♿️ @ Fundacja Aktywizacja,3,3,3,0,0,100.0,100.0,trait:accuracy;trait:independence;trait:responsibility,trait:accuracy;trait:independence;trait:responsibility,,
11,adzuna,,Export Manager (k/m/x),0,0,0,0,0,0.0,0.0,,,,
12,adzuna,,Metalurzka / Metalurg,0,0,0,0,0,0.0,0.0,,,,
13,adzuna,technical,Repair Mechanic,0,0,0,0,0,0.0,0.0,,,,
14,adzuna,,Technolozka / Technolog,0,0,0,0,0,0.0,0.0,,,,
15,adzuna,,Technolozka / Technolog,0,0,0,0,0,0.0,0.0,,,,
16,adzuna,,English-speaking Game Presenter in Sofia,0,0,0,0,0,0.0,0.0,,,,
17,adzuna,it,Software / AI Engineer,0,0,0,0,0,0.0,0.0,,,,
18,adzuna,,Senior / Staff Kotlin Desktop Engineer,2,2,2,0,0,100.0,100.0,technology:kotlin;trait:ownership,technology:kotlin;trait:ownership,,
19,adzuna,marketing,Mid-Senior Agent Harness Engineer,0,0,0,0,0,0.0,0.0,,,,
20,adzuna,,KSIĘGOWA/KSIĘGOWY,0,0,0,0,0,0.0,0.0,,,,
21,adzuna,,Specjalista ds. wspierania zdrowia,0,0,0,0,0,0.0,0.0,,,,
